entityid,secteur,code,cepage,commune,date,sucres,acidite_totale,ph,indice,acide_tartrique,potasse,azote_amm
6b104c12-db64-47ea-acec-6dbc8d3e9ee9,Maranges,ES3,Pinot,Cheilly-les-Maranges,18-sept-08,181,7,94,2,89,22,79
169883ba-2fee-4b76-9c23-f3a5291d7922,Maranges,ES4,Pinot,Cheilly-les-Maranges,18-sept-08,170,8,31,2,85,20,45
d2f990ae-cdc0-4e90-a132-c5d5956dc948,Couchois,ES1,Pinot,St.Maurice-les-Couches,22-sept-08,186,8,23,2,89,22,6
58af824e-788e-4927-ab38-a410f3002860,Couchois,ES2,Pinot,St.Sernin-du-Plain,22-sept-08,177,9,6,2,88,19,53
b93925e4-0b38-4a76-8c11-e228cb10afd6,Maranges,ES3,Pinot,Cheilly-les-Maranges,22-sept-08,174,8,54,2,91,20,37
e6fb6f05-f83e-4984-a66b-153171b8bf09,Maranges,ES4,Pinot,Cheilly-les-Maranges,22-sept-08,184,8,25,2,94,22,3
016421d9-5d4e-4867-9fe6-0e1dcd908090,Couchois,ES1,Pinot,St.Maurice-les-Couches,25-sept-08,196,8,19,2,93,23,93
a20247a6-300c-4eef-8c30-2e0d483ece77,Couchois,ES2,Pinot,St.Sernin-du-Plain,25-sept-08,188,9,12,2,9,20,61
b49c1c29-b236-4984-83fd-a8d28c23eeac,Maranges,ES3,Pinot,Cheilly-les-Maranges,25-sept-08,197,7,65,2,94,25,75
c49b0c5e-ef43-467b-aef1-c292d72a9ef1,Maranges,ES4,Pinot,Cheilly-les-Maranges,25-sept-08,193,8,1,2,94,24,9
97e02cd7-85a8-4099-9f6e-9a0867a51fc3,Maconnais,BRE,Chardonnay,Fuissé,06-août-09,55,21,1,2,69,2,6
917a3c5c-8559-465a-b744-8367a32132bc,Maconnais,BUR,Chardonnay,Fuissé,06-août-09,48,19,5,2,76,2,46
0a6f87fc-006b-4054-8507-c51f47d0b3b8,Maconnais,FER,Chardonnay,Fuissé,06-août-09,57,20,2,67,2,85,
d3eb321f-ee4d-48b7-b3b5-a8a451bef395,Maconnais,VIN,Chardonnay,Fuissé,06-août-09,78,17,3,2,68,4,5
c8fce6e2-2057-4ab3-878f-f4ea967526c2,Maconnais,ADO,Gamay,St.Amour,06-août-09,112,14,7,2,66,7,61
0d064577-a977-4535-b291-0a7da9536c7a,Maconnais,AUF,Gamay,St.Amour,06-août-09,132,12,2,81,11,,
b870a2cb-b4ab-4196-a297-b3c12fdc276b,Maconnais,DUF,Gamay,St.Amour,06-août-09,136,11,8,2,76,11,52
ada1d4df-5ae0-4a44-80f1-0c97bbff7601,Maconnais,LEB,Gamay,St.Amour,06-août-09,127,12,2,77,10,58,
58c4ac34-aabb-4a7a-91e2-d058deebf65b,Maconnais,BRE,Chardonnay,Fuissé,10-août-09,91,15,8,2,75,5,75
5572c207-1af7-4d23-aeac-6e482ef09057,Maconnais,BUR,Chardonnay,Fuissé,10-août-09,82,14,3,2,88,5,73
060e1319-d348-41b3-a510-854641e5daf0,Maconnais,FER,Chardonnay,Fuissé,10-août-09,89,15,3,2,77,5,81
15ee83b8-12e6-4f9e-a7b1-ea50637edc48,Maconnais,VIN,Chardonnay,Fuissé,10-août-09,112,13,2,77,8,61,
eb6ef181-9cfb-46f8-8b1a-df41d59d08a6,Maconnais,ADO,Gamay,St.Amour,10-août-09,132,11,2,2,81,11,78
a939699c-73dc-4226-ab04-b0c9c92a687e,Maconnais,AUF,Gamay,St.Amour,10-août-09,145,9,2,95,16,11,
9fee8d91-13f4-4572-a7b5-1d6c6e8d75f5,Maconnais,DUF,Gamay,St.Amour,10-août-09,136,9,5,2,84,14,31
c34d16a6-2269-473c-bbb5-d5e751fedbd4,Maconnais,LEB,Gamay,St.Amour,10-août-09,143,9,5,2,86,15,5
d2ce6a9d-015a-4c85-93ae-2c4897808dcd,Maconnais,BRE,Chardonnay,Fuissé,13-août-09,103,14,6,2,78,7,5
804182cf-532f-4559-b7fe-38166397b52f,Maconnais,BUR,Chardonnay,Fuissé,13-août-09,103,12,8,2,9,8,4
01652b6c-569c-46f2-a92d-2a24a6de6dee,Maconnais,FER,Chardonnay,Fuissé,13-août-09,99,14,2,79,7,7,
8923a59f-ec8d-417c-b519-06c6418cb1a1,Maconnais,VIN,Chardonnay,Fuissé,13-août-09,132,10,7,2,84,12,33
3befc301-356b-4eaf-9827-0d08e45cfa67,Maconnais,ADO,Gamay,St.Amour,13-août-09,152,9,8,2,84,15,51
7dd90740-8dcf-4a94-85ae-5a378c42b756,Maconnais,AUF,Gamay,St.Amour,13-août-09,159,9,2,93,17,66,
